datetime,close
2024-03-06,2.4699
2024-03-05,2.4823
2024-03-04,2.4542
2024-03-01,2.4506
2024-02-29,2.4488
2024-02-28,2.4212
2024-02-27,2.4407
2024-02-26,2.4292
2024-02-23,2.4697
2024-02-22,2.4694
2024-02-21,2.4464
2024-02-20,2.4043
2024-02-19,2.4068
2024-02-08,2.3881
2024-02-07,2.3795
2024-02-06,2.3539
2024-02-05,2.2895
2024-02-02,2.2629
2024-02-01,2.2828
2024-01-31,2.2890
2024-01-30,2.3061
2024-01-29,2.3401
2024-01-26,2.3502
2024-01-25,2.3487
2024-01-24,2.2957
2024-01-23,2.2612
2024-01-22,2.2653
2024-01-19,2.2786
2024-01-18,2.2730
2024-01-17,2.2342
2024-01-16,2.2845
2024-01-15,2.2740
2024-01-12,2.2730
2024-01-11,2.2760
2024-01-10,2.2710
2024-01-09,2.2810
2024-01-08,2.2800
2024-01-05,2.3050
2024-01-04,2.3160
2024-01-03,2.3320
2024-01-02,2.3290
2023-12-29,2.3640
2023-12-28,2.3560
2023-12-27,2.3040
2023-12-26,2.2990
2023-12-25,2.3100
2023-12-22,2.3070
2023-12-21,2.2980
2023-12-20,2.2740
2023-12-19,2.2880
2023-12-18,2.2820
2023-12-15,2.2760
2023-12-14,2.2810
2023-12-13,2.2920
2023-12-12,2.3370
2023-12-11,2.3250
2023-12-08,2.3150
2023-12-07,2.3080
2023-12-06,2.3170
2023-12-05,2.3200
2023-12-04,2.3680
2023-12-01,2.3870
2023-11-30,2.4010
2023-11-29,2.3930
2023-11-28,2.4060
2023-11-27,2.4060
2023-11-24,2.4660
2023-11-23,2.4800
2023-11-22,2.4720
2023-11-21,2.4920
2023-11-20,2.4800
2023-11-17,2.4730
2023-11-16,2.4800
2023-11-15,2.5030
2023-11-14,2.4820
2023-11-13,2.4840
2023-11-10,2.4900
2023-11-09,2.5130
2023-11-08,2.5140
2023-11-07,2.5210
2023-11-06,2.5350
